,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.9292531169874687,3.0
1,SNX-USD,ICP-USD,0.5876136609700194,3.0
2,SNX-USD,ETC-USD,0.12963427633653965,3.0
3,SNX-USD,ZEC-USD,0.0818012544970788,4.0
4,SNX-USD,LINK-USD,0.33659597580683664,3.0
5,SNX-USD,MKR-USD,0.0018954038067313028,4.0
6,SNX-USD,ATOM-USD,0.28050241215394495,3.0
7,SNX-USD,BCH-USD,0.010448995796418196,4.0
8,SNX-USD,CELO-USD,4.776653490935067,4.0
9,SNX-USD,ENJ-USD,8.497587774369908,3.0
10,SNX-USD,RUNE-USD,1.3041568974682385,3.0
11,SNX-USD,FIL-USD,0.6048717410298667,3.0
12,SNX-USD,ZRX-USD,11.881033081688102,3.0
13,SNX-USD,TRX-USD,26.876301466969473,4.0
14,SNX-USD,YFI-USD,0.0003642583712015233,3.0
15,SNX-USD,COMP-USD,0.04852407902538727,3.0
16,SNX-USD,XLM-USD,16.90639610407062,3.0
17,SNX-USD,EOS-USD,3.4741927360086,4.0
18,SNX-USD,NEAR-USD,1.748235494340452,4.0
19,SNX-USD,ALGO-USD,21.315857854105154,3.0
20,SNX-USD,XMR-USD,0.014216835178258842,3.0
21,SNX-USD,SUSHI-USD,3.4771588926698453,4.0
22,SNX-USD,ADA-USD,7.778995091546875,3.0
23,SNX-USD,UMA-USD,1.4952470907792532,4.0
24,SNX-USD,BTC-USD,7.786180508997394e-05,3.0
25,SNX-USD,DOT-USD,0.4586940634905624,3.0
26,SNX-USD,CRV-USD,4.35107375199458,3.0
27,SNX-USD,SOL-USD,0.09826342200559082,3.0
28,SNX-USD,DOGE-USD,32.17665184621005,3.0
29,SNX-USD,LTC-USD,0.031333710445178346,3.0
30,SNX-USD,AAVE-USD,0.03610321081567025,4.0
31,SNX-USD,UNI-USD,0.43720998876165135,3.0
32,SNX-USD,MATIC-USD,3.654123038451822,3.0
33,SNX-USD,1INCH-USD,8.317924931924992,4.0
34,SNX-USD,AVAX-USD,0.19810811359560845,3.0
35,SNX-USD,ETH-USD,0.0012287670820389184,3.0
36,XTZ-USD,FIL-USD,0.20631927515494142,9.0
37,XTZ-USD,DOT-USD,0.15656832878926388,17.0
38,XTZ-USD,MATIC-USD,1.2470176484152236,11.0
39,XTZ-USD,ETH-USD,0.0004193950385961673,6.0
40,ICP-USD,ENJ-USD,14.461791775563627,9.0
41,ETC-USD,ZEC-USD,0.6310041127500895,7.0
42,ETC-USD,YFI-USD,0.002809404310391539,13.0
43,ETC-USD,COMP-USD,0.3740624797680665,9.0
44,ETC-USD,NEAR-USD,13.486735774113528,8.0
45,ETC-USD,SUSHI-USD,26.823830003985165,9.0
46,ETC-USD,BTC-USD,0.0006004627118014131,9.0
47,ETC-USD,DOT-USD,3.536820903927379,15.0
48,ETC-USD,LTC-USD,0.2416579770363034,10.0
49,ETC-USD,AAVE-USD,0.27848324682584047,10.0
50,ETC-USD,1INCH-USD,64.15702329770777,11.0
51,ETC-USD,ETH-USD,0.009473497003241503,12.0
52,ZEC-USD,CELO-USD,58.39352677142147,10.0
53,ZEC-USD,ENJ-USD,103.80572701198803,9.0
54,ZEC-USD,EOS-USD,42.47426728061673,6.0
55,ZEC-USD,NEAR-USD,21.369120345698107,12.0
56,ZEC-USD,XMR-USD,0.1737025070381626,14.0
57,ZEC-USD,SUSHI-USD,42.50871614822146,4.0
58,ZEC-USD,BTC-USD,0.0009515366408181149,4.0
59,ZEC-USD,LTC-USD,0.3829493641832647,4.0
60,ZEC-USD,AAVE-USD,0.4412635983632119,9.0
61,ZEC-USD,1INCH-USD,101.6639784161562,7.0
62,ZEC-USD,ETH-USD,0.015012330595219428,6.0
63,LINK-USD,FIL-USD,1.796768517667191,8.0
64,ATOM-USD,ZRX-USD,42.355825866755964,12.0
65,ATOM-USD,UNI-USD,1.5586223321816184,12.0
66,CELO-USD,EOS-USD,0.727263819925847,7.0
67,CELO-USD,BTC-USD,1.6291389204233204e-05,10.0
68,ENJ-USD,ZRX-USD,1.3975203342073308,6.0
69,ENJ-USD,COMP-USD,0.0057095224075088685,6.0
70,ENJ-USD,ALGO-USD,2.50854639289258,8.0
71,ENJ-USD,DOT-USD,0.053988291928878544,7.0
72,ENJ-USD,SOL-USD,0.011553280875380696,14.0
73,ENJ-USD,1INCH-USD,0.9792375598914136,8.0
74,FIL-USD,CRV-USD,7.19275036162433,6.0
75,ZRX-USD,COMP-USD,0.004084857996229183,7.0
76,ZRX-USD,XLM-USD,1.4229809757024914,12.0
77,ZRX-USD,SOL-USD,0.00826708822483822,8.0
78,ZRX-USD,UNI-USD,0.03678345917818295,13.0
79,YFI-USD,COMP-USD,133.12708304298934,10.0
80,YFI-USD,NEAR-USD,4799.62952282126,13.0
81,YFI-USD,SUSHI-USD,9546.068167760799,12.0
82,YFI-USD,ADA-USD,21344.64904561986,12.0
83,YFI-USD,UMA-USD,4069.0758876867026,4.0
84,YFI-USD,DOT-USD,1258.7499700561648,16.0
85,YFI-USD,AAVE-USD,99.11149930768117,10.0
86,YFI-USD,1INCH-USD,22832.212552489695,14.0
87,COMP-USD,XLM-USD,348.2645085267362,17.0
88,COMP-USD,NEAR-USD,36.04530140551199,10.0
89,COMP-USD,ALGO-USD,439.314825033588,5.0
90,COMP-USD,XMR-USD,0.2929756983205958,15.0
91,COMP-USD,ADA-USD,160.30665287313238,7.0
92,COMP-USD,UMA-USD,30.591321518059228,4.0
93,COMP-USD,BTC-USD,0.0016048457862893742,12.0
94,COMP-USD,DOT-USD,9.453722040855183,9.0
95,COMP-USD,SOL-USD,2.023109782068109,18.0
96,COMP-USD,LTC-USD,0.6458787612414838,13.0
97,COMP-USD,AAVE-USD,0.7443049243655001,11.0
98,COMP-USD,MATIC-USD,75.28081613735681,19.0
99,COMP-USD,1INCH-USD,171.48828025637073,7.0
100,COMP-USD,ETH-USD,0.025321221291520243,11.0
101,NEAR-USD,SUSHI-USD,1.98867756938674,9.0
102,NEAR-USD,AAVE-USD,0.020646640649042453,7.0
103,ALGO-USD,DOT-USD,0.021519040666706294,12.0
104,ALGO-USD,SOL-USD,0.004604842591268188,24.0
105,ALGO-USD,1INCH-USD,0.3903272854646824,10.0
106,ALGO-USD,ETH-USD,5.763640820969227e-05,15.0
107,SUSHI-USD,AAVE-USD,0.010379782461007467,10.0
108,SUSHI-USD,1INCH-USD,2.3912918614397296,9.0
109,ADA-USD,DOT-USD,0.058968850933696325,11.0
110,ADA-USD,CRV-USD,0.5590525388907704,22.0
111,ADA-USD,SOL-USD,0.012619331523174378,17.0
112,ADA-USD,UNI-USD,0.05614581454865217,24.0
113,ADA-USD,1INCH-USD,1.0695636527403052,10.0
114,ADA-USD,AVAX-USD,0.025453549820017022,20.0
115,UMA-USD,BTC-USD,5.103801797850908e-05,4.0
116,UMA-USD,DOT-USD,0.30050123127781514,4.0
117,UMA-USD,CRV-USD,2.848434096706902,4.0
118,UMA-USD,SOL-USD,0.06436832123686474,4.0
119,UMA-USD,LTC-USD,0.020537922555381203,4.0
120,UMA-USD,AAVE-USD,0.023651376556964025,4.0
121,UMA-USD,UNI-USD,0.2863024205248025,4.0
122,UMA-USD,MATIC-USD,2.394348180192273,4.0
123,UMA-USD,1INCH-USD,5.452456746827682,4.0
124,UMA-USD,AVAX-USD,0.12982560021939005,4.0
125,UMA-USD,ETH-USD,0.000805389852362726,4.0
126,BTC-USD,DOGE-USD,413279.97387404554,7.0
127,BTC-USD,1INCH-USD,106832.79576663094,11.0
128,CRV-USD,AVAX-USD,0.04550487964632205,10.0
129,DOGE-USD,MATIC-USD,0.11348334172938836,14.0
130,DOGE-USD,ETH-USD,3.816904522419408e-05,9.0
131,MATIC-USD,AVAX-USD,0.05419618284835219,9.0
